ALink,SName,SLink,Lyric,language
/platters/,I Love You a thousand Times,/platters/i-love-you-a-thousand-times.html,"Remember love notes, the teacher found in school.
The whole class laughting, gee I felt just like a
fool.

But that's not the very part about I, I had to write
1 thousand times.

That I love you, I love you!
I love you, I love you!
Girl I love you, 1 thousand times.

The love notes I treasured, loving you was not a sin.
Punishment was pleasure, whoo Id do it all over again.

I wrote, and I wrote, till my fingers got sore,
But I had to write just a little bit more.

Did you read my letters its been on my mind?
All that it said was girl I love you one thousand times.

From then untile this very same day,
I still feel that same old way.


By JPR",en
/escape-the-fate/,I Alone,/escape-the-fate/i-alone.html,"I will always stand my ground
Till I'm six feet underground
You will always hear my sound, I'm breathing
I will always hold my own
They will judge and throw their stones
They will never steal my soul, I'm breathing
I am alive, I am alive, I am alive

I'll never hesitate
I'll never let you take
This kingdom that I've made
I alone survive
Don't need you telling me
That my life is just a dream
I'll beat my enemies
I alone survive
Yeah, yeah, I alone survive

I will never come undone
I'm the bullet in the gun
Hear my heart kick like a drum, still beating
Have I fallen in a dream
Full of pain and misery
I'll fly out and spread my wings while screaming
I am alive, I am alive, I am alive

I'll never hesitate
I'll never let you take
This kingdom that I've made
I alone survive
Don't need you telling me
That my life is just a dream
I'll beat my enemies
I alone survive

And as the sun rises
I'm faced with these choices
And it's always up to me
They won't destroy my dreams

Don't need you telling me
That my life is just a dream
I'll beat my enemies
I alone survive

And as the sun rises
I'm faced with these choices
And it's always up to me
They won't destroy my dreams

I'll never hesitate
I'll never let you take
This kingdom that I've made
I alone survive



|
|
|",en
/bad-religion/,Anxiety,/bad-religion/anxiety.html,"It's a love song to the self, a story recapped every day,
It's a world of bogus feelings and a world of slow decay,
It's a world of laughter hidden by this world of fear and torment,
It's a game of strange compulsion, our visceral convulsion:
Anxiety for love of life, anxiety for pain,
Anxiety, a feeling that you know you can't contain.
Anxiety destroys us but it drives the common man.
Foundation of society, anxiety. Suppress it if you can.
The caste of coffee achievers didn't perform like they planned.
The morning rush hour traffic is our play of false elan.
So run around your frantic track and lay you down to sleep;
Tomorrow's the redemption, we strive for that exception.
Anxiety for love of life, anxiety for pain,
Anxiety, a fear that you have nothing more to gain.
Anxiety destroys us but it drives the common man.
Foundation of society, anxiety. Suppress it if you can.
What are we angry for?
We all need a common cure.
That common goal for which you strive:
To have more than the other (have more than the other) guy.
The quest for truth, the quest for gold, yeah, we end up all the same
The common lie, the righteous cry, we end up all the same.
The angry crowd, those lost and found, everybody's all the same.
The poet's pen, these words I lend, we all bend to
Anxiety for love of life, anxiety for pain,
Anxiety, a feeling that you know you can't contain.
Anxiety destroys us but it drives the common man.
Foundation of society, anxiety.",en
/luna/,Pup Tent,/luna/pup-tent.html,"Sneakin' a kiss
On the fire escape
A little game of pup tent
With a blanket and a broom
My mind is taking photographs
Of every little thing
Exhibit number 2 ...
A piece of white chocolate

And if you want me to,
I'm gonna cry you a river tonight
And if you ask me to,
I'm gonna crawl right into your dreams
And did you know,
I feel a chokin' in the back of my throat

I see you walkin'
Walkin' on tippytoes
Swayin' like a sunflower
On a Spanish afternoon
My mind is taking photographs
Of every little thing
Exhibit number 8 ...
don't be late

You crept in
Underneath the radar
Living in a glass house
Sleeping on a glass bed
But my mind has taken photographs
Of every little thing
Honey turn around
And the shame remains",en
/paradise-lost/,Requiem,/paradise-lost/requiem.html,"""Requiem"" (4:25)
Slow the art of fear
Writhe against the fading
In these sheltered years
I escape from this cruel world

Chose to domineer
Thrive against all failing
Are these wretched tears
Just remains of my ruined worth...

You'll never save me again....
Reanimate me again...

Into the grave
With all the symptoms you create
Into the fray
With all the sickness you'll remain",en
/the-who/,Someone's Coming,/the-who/someones-coming.html,"Goodnight baby,
Someone's a-comin', someone's a-comin',
Goodnight baby,
Gotta get a-runnin', gotta get a-runnin'.

Your father doesn't like me,
Told you that you couldn't see me any more,
That's why we meet in secret,
That's why we're hiding here.

Goodnight baby,
Same time tomorrow, same time tomorrow,
Goodnight baby,
See you here tomorrow, see you here tomorrow.

Your mother made you stay in,
When she saw you going out with me,
You'll say you'll take the dog out,
Then you sneak out here to me.

If your parents find you here,
You're gonna get a hiding, gonna get a hiding,
So I'll vanish, disappear,
See you here tomorrow, see you here tomorrow.
",en
/little-joy/,No One's Better Sake,/little-joy/no-ones-better-sake.html,"one thought has me turning back
a dozen point the other way
We act upon desire
to each a hand for hire
patience isn't worth the wait

you've got knives in your eyes
you would be happy not to change your mind
I can't defend you truly
when I worry about smoke instead of putting out the fire

and if we work it out
chances are bound
we'd be standing our ground
for no one's better sake
goodbye

what are we waiting for?
what are we waiting for?
what are we waiting for?
what are we waiting for?
what are we waiting for?
what are we waiting for?
what are we waiting for?

how faint might that light become
when focused at from miles away?
although my position
just gives you ammunition
be certain that I know my praise

so is this how it ends?
oh with a whimper in the place of a bang
I can't defend you truly
when I worry about smoke instead of putting out the fire

and if we work it out
chances are bound
we'd be standing around
for no one's better sake
goodbye

we would be friends
if we tried again
I'd take second place
just to end the race
for no one's better sake

goodbye.",en
/slightly-stoopid/,Don't Care,/slightly-stoopid/dont-care.html,"Dont give 'em your love
But don't give 'em your heart
But don't give 'em your love
But they tear it apart
But dont give 'em your love
Friend, don't give 'em your heart
But they tearing it up
But then tear it apart
No, cause I don't care no more
No, I don't care no more
Cause I don't care no, uh
No, I don't care no more
No, I don't care no more
Cause I don't care no
Yeah, the way you move, the way you walk
But you don't talk that way to me
Lord, the way you move, the way you walk
My mother, turn away from me
No, cause I don't care no more
No, I don't care no more
No, cause I don't care no, uh
No, I don't care no more
No, I don't care no more
No, I don't care no
Yeah, the way you move, the way you walk
But you don't walk away from me
Yeah, the way you move, the way you talk
But you don't talk that way to me
Dont give'm your love
But just give 'em your heart
But don't give 'em your love
When they tear it apart
When I give you my love
When I give you my heart
But not giving it up
When you tear it apart
But don't give 'em your love
But don't give 'em your heart
For they tearing it up
But they tear it apart
But not giving it up
We call the thing-a that you gotta, gotta, proper, proper
Because me walking like it tough for me to, doctor, doctor
He nod, the night time will-a me-a juke and jock and stuck ya
Me want the better part of thing-a you offered
As she walk me feel the thing __ the jeopardy
Who mon? I'll talk, but she know she was sweat to me
Things that she got, parting a flap, why not?
He and I, the __ and me done now
Not giving my love
They not giving my heart
But not giving it up, up
When they tear it apart
Whe I give you my love
Oh ma, give 'em my heart
But don't tearing it up
No, why tear it apart?
When I give you my love
When I give you my heart
But don't tearing it up
But don't tear it apart, don't
Let love go, baby, gotta let the little lover stay
Im gonna be a boss DJ night and day, come on and play
Ba-diddily-diddily-diddily-diddily-diddily-diddily
Because me give you, feel me heart, and me give you, feel me soul
No, little girl cause your hearts so cold
I said be gone, ba-diddily, I tell ya, said be gone
Now me say hug upon the pistol and me more control
This someone at me trouble, touch your soul
Me said be gone, a little girl, me said be gone
A cause I give, you feel me heart, and then you tear it apart
A little girl, me say your heart is so small
I said me give, you feel me soul, are you a rock and roll
A little girl, I say your heart is so cold
Let me tell ya, said be gone, ba-diddily-diddily, said be gone
Cause me say love a little brother, baby love blood to bones
For you will love him more than some-a, we'll lock him closed
The one that really don't know is-a want it the most, I said be gone
Because you just like a hard grown gypsy
And every time that you see me get tipsy
You just a-walk and shake like you're sexy
Because you look like a bottle of Pepsi
Let me tell ya, said be gone, ba-diddildy
Ah let me tell ya, said be gone
Cause me say, what Im gonna give you is the straight forward love
Me coming like a pyramid, said why bother love?
Just be gone, ba-diddily, well let me tell ya, said be gone
Cause me say, have come a some, I said the more speed I come
Said, many times woman, said you're jumping on me, have we get one
No, you are real that a lie
Ba-diddily-diddily-diddily-diddily
Me say, all of my heart and soul
Lord, me say, all of my heart and soul",en
/marillion/,Forgotten Sons,/marillion/forgotten-sons.html,"Armalite, street lights, nightsights
Searching the roofs for a sniper, a viper, a fighter
Death in the shadows he'll maim you, he'll wound you, he'll kill you
For a long forgotten cause, on not so foreign shores
Boys baptised in wars
Morphine, chill scream, bad dream
Serving as numbers on dogtags, flakrags, sandbags
Your girl has married your best friend, loves end, poison pen
Your flesh will always creep, tossing turning sleep
The wounds that burn so deep

Your mother sits on the edge of the world
W when the cameras start to roll
Panoramic viewpoint resurrect the killing fold
Your father drains another beer, he's one of the few that cares
Crawling behind a Saracen's hull from the safety of his living room chwair
Forgotten sons, forgotten sons, forgotten sons

And so as I patrol in the valley of the shadow of the tricolour
I must fear evil, for I am but mortal and mortals can only die
Asking questions, pleading answers from the nameless faceless watchers
That stalk the carpeted corridors of Whitehall

Who orders desecration, mutilation, verbal masturbation
I in the guarded bureaucratic wombs

Minister, minister care for your children, order them not into damnation
To eliminate those who would trespass against you
For whose is the kingdom, the power, the glory forever and ever, Amen
Halt who goes there, Death, approach friend

You're just another coffin on its way down the emerald aisle
When your children's stony glances mourn your death in a terrorist's smile
The bomber's arm placing fiery gifts on the supermarket shelves
Alley sings with shrapnel detonate a temporary hell
Forgotten Sons

From the dole queue to the regiment a profession in a flash
But remember Monday signings when from door to door you dash
On the news a nation mourns you unknown soldier, count the cost
For a second you'll be famous but labelled posthumous

Forgotten sons, forgotten sons
Peace on earth and mercy mild, Mother Brown has lost her child
Just another Forgotten Son
",en
/before-god/,March Of The Damned,/before-god/march-of-the-damned.html,"Driven from their homes, their streets up in flames, forced into the open, into a sea of pain. once found memories of better days gone by, all become lost with every tear they cry.

They flee to the west with their daughters and sons, to escape death and the roar od it's gun. what kind of future does fate have in store, will they survive or become victims of war?

Forced from their homes, driven from their land, survival by chance in the... march of the damned! battered and beaten yet they try to stand, they must move on in the... march of the damned!

Prisoner of war, captured at the front, in the rubble you bore the brunt. marched into the streets in humiliating defeat, being spat upon, cursed upon, kicked and beat.

Sent to siberia, morale is getting low, will you ever see your family, will you ever see your home. you've got to hold on, you've got to keep faith, for your spirit and body they're trying to break.

You swore the oath to your fatherland, now herded like cattle in the... march of the damned! honor and dignity the foe can't understand, they weren't in your place in the... march of the damned!

These are victims that time had forgot, bombed, beaten, and left in gulags to rot. they stood accused, accused by the blind, believing in their land was their only crime.

Some call it loyalty, some call it treason, what is a world that can not see reason. how can one cast blame upon a nation, when victors lies breed humiliation.

Forced from their homes, driven from their land, survival by chance in the... march of the damned! battered and beaten yet they try to stand, they must move on in the... march of the damned! you swore the oath to your fatherland, now herded like cattle in the...
March of the damned! honor and dignity
The foe can't understand, they weren't
In your place in the... march of the damned!",en
